ip,latest_mac,mac_type,hostname,os,manufacturer,model
10.138.86.3,B8:CE:F6:EE:98:B6,static,globus-priv-01,AlmaLinux 8.10 (Cerulean Leopard),VMware,"VMware7,1"
10.183.0.128,00:50:56:AE:04:1C,static,RES-BELLAM-PAP1,Windows Server 2019 Datacenter,VMware,"VMware7,1"
10.183.0.174,00:50:56:8E:00:72,static,NA,NA,VMware,NA
10.183.0.202,00:50:56:8E:3B:A3,static,NA,NA,NA,NA
10.183.0.56,00:07:43:0B:06:8F,static,NA,NA,NA,NA
10.183.1.106,00:50:56:AE:0F:24,dynamic,nbc9-hpc-test-pool1-07eb40e4-zt444,Debian GNU/Linux 12 (bookworm),VMware,NA
10.183.11.230,00:50:56:AE:13:13,static,rcintern-project-dev-01,Ubuntu 22.04,VMware,"VMware7,1"
10.183.11.244,00:50:56:AE:65:37,static,dcc-sched-dev-01,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.11.245,00:50:56:AE:52:CE,static,dcc-core-dev-01,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.11.246,00:50:56:AE:AE:3F,static,dcc-core-dev-02,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.11.247,00:50:56:AE:6B:CB,static,dcc-core-dev-04,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.11.248,00:50:56:AE:44:95,static,dcc-core-dev-03,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.11.249,00:50:56:AE:82:19,static,dcc-core-dev-05,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.11.251,00:50:56:AE:C0:6B,static,dcc-login-dev-01,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.12.2,00:50:56:AE:4B:C8,static,dcc-ondemand-dev-01,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.12.5,00:50:56:AE:1D:18,static,research-cpslab-01,Ubuntu 22.04.4 LTS,VMware,"VMware7,1"
10.183.13.152,00:50:56:AE:46:0C,static,hpc-bartesaghi-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.153,00:50:56:AE:6D:97,static,hpc-bartesaghi-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.154,00:50:56:AE:B3:8F,static,hpc-bartesaghi-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.155,00:50:56:AE:DA:F8,static,hpc-bartesaghi-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.156,00:50:56:AE:16:8F,static,hpc-bartesaghi-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.157,00:50:56:AE:BA:5C,static,hpc-bartesaghi-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.158,00:50:56:AE:72:47,static,hpc-bartesaghi-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.159,00:50:56:AE:A3:0A,static,hpc-bartesaghi-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.160,00:50:56:AE:65:42,static,hpc-bartesaghi-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.161,00:50:56:AE:61:36,static,hpc-bartesaghi-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.162,00:50:56:AE:87:92,static,hpc-bartesaghi-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.163,00:50:56:AE:CC:0D,static,hpc-bartesaghi-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.164,00:50:56:AE:99:EB,static,hpc-bartesaghi-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.166,00:50:56:AE:91:E1,static,hpc-bartesaghi-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.167,00:50:56:AE:14:5E,static,hpc-bartesaghi-13,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.168,00:50:56:AE:7F:C0,static,hpc-bartesaghi-14,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.169,00:50:56:AE:05:3A,static,hpc-bartesaghi-15,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.170,00:50:56:AE:DC:B2,static,hpc-bartesaghi-16,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.171,00:50:56:AE:03:3D,static,hpc-bartesaghi-17,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.172,00:50:56:AE:4C:22,static,hpc-bartesaghi-18,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.173,00:50:56:AE:70:6F,static,hpc-bartesaghi-19,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.174,00:50:56:AE:D6:F2,static,hpc-bartesaghi-20,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.175,00:50:56:AE:E0:26,static,hpc-bartesaghi-21,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.176,00:50:56:AE:F8:99,static,hpc-bartesaghi-22,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.177,00:50:56:AE:7D:72,static,hpc-bartesaghi-23,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.178,00:50:56:AE:1B:C3,static,hpc-bartesaghi-24,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.179,00:50:56:AE:77:D7,static,hpc-bartesaghi-25,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.180,00:50:56:AE:45:C5,static,hpc-bartesaghi-26,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.181,00:50:56:AE:D1:D3,static,hpc-bartesaghi-27,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.182,00:50:56:AE:61:AB,static,hpc-bartesaghi-28,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.183,00:50:56:AE:09:68,static,hpc-bartesaghi-29,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.184,00:50:56:AE:B8:8E,static,hpc-bartesaghi-30,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.185,00:50:56:AE:B0:86,static,hpc-bartesaghi-31,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.186,00:50:56:AE:0F:44,static,hpc-bartesaghi-32,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.187,00:50:56:AE:F1:6E,static,hpc-bartesaghi-34,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.188,00:50:56:AE:56:86,static,hpc-bartesaghi-33,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.189,00:50:56:AE:3E:DB,static,hpc-bartesaghi-35,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.190,00:50:56:AE:6E:51,static,hpc-bartesaghi-36,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.191,00:50:56:AE:5A:C7,static,hpc-bartesaghi-37,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.193,00:50:56:AE:98:EA,static,hpc-bartesaghi-39,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.194,00:50:56:AE:38:97,static,hpc-bartesaghi-40,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.195,00:50:56:AE:06:35,static,hpc-bartesaghi-41,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.196,00:50:56:AE:32:22,static,hpc-bartesaghi-42,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.197,00:50:56:AE:31:E0,static,hpc-bartesaghi-44,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.198,00:50:56:AE:F9:F3,static,hpc-bartesaghi-43,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.199,00:50:56:AE:4C:6D,static,hpc-bartesaghi-46,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.200,00:50:56:AE:15:F1,static,hpc-bartesaghi-45,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.201,00:50:56:AE:99:72,static,hpc-bartesaghi-47,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.202,00:50:56:AE:BA:0E,static,hpc-bartesaghi-48,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.203,00:50:56:AE:7F:A7,static,hpc-bartesaghi-49,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.205,00:50:56:AE:F7:F1,static,hpc-bartesaghi-51,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.206,00:50:56:AE:81:F2,static,hpc-bartesaghi-52,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.13.207,00:50:56:AE:AF:B4,static,dcc-cryosparc-dev-01,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.13.210,00:50:56:AE:34:A0,static,dcc-core-gpu-dev-01,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.14.100,00:50:56:AE:7A:CC,static,dcc-brunellab-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.101,00:50:56:AE:38:3B,static,dcc-brunellab-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.102,00:50:56:AE:32:B4,static,dcc-brunellab-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.103,00:50:56:AE:28:F1,static,dcc-cryosparc-dhvi-strucbio-02,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.14.104,00:50:56:AE:76:DF,static,dcc-caperlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.105,00:50:56:AE:1B:13,static,dcc-carlsonlab-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.106,00:50:56:AE:4C:2A,static,dcc-carlsonlab-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.107,00:50:56:AE:56:6B,static,dcc-carlsonlab-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.108,00:50:56:AE:25:C2,static,dcc-carlsonlab-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.109,00:50:56:AE:08:02,static,dcc-carlsonlab-gpu-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.110,00:50:56:AE:C5:4A,static,dcc-carlsonlab-gpu-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.111,00:50:56:AE:BF:0D,static,dcc-carlsonlab-gpu-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.112,00:50:56:AE:A7:00,static,dcc-carlsonlab-gpu-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.113,00:50:56:AE:C7:0D,static,dcc-carlsonlab-gpu-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.114,00:50:56:AE:CD:21,static,dcc-carlsonlab-gpu-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.115,00:50:56:AE:CA:93,static,dcc-carlsonlab-gpu-11,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.116,00:50:56:AE:65:6E,static,dcc-carlsonlab-gpu-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.117,00:50:56:AE:4A:9B,static,dcc-carlsonlab-gpu-15,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.118,00:50:56:AE:D0:04,static,dcc-carlsonlab-gpu-14,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.119,00:50:56:AE:FE:24,static,dcc-carlsonlab-gpu-13,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.120,00:50:56:AE:E5:02,static,dcc-carlsonlab-gpu-16,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.16,00:50:56:AE:80:E1,static,dcc-dmc-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.169,00:50:56:AE:E3:EA,static,dcc-chsi-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.17,00:50:56:AE:43:D8,static,dcc-cosmology-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.170,00:50:56:AE:24:F2,static,dcc-chsi-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.171,00:50:56:AE:A5:45,static,dcc-chsi-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.172,00:50:56:AE:04:AB,static,dcc-chsi-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.173,00:50:56:AE:1A:C8,static,dcc-chsi-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.178,00:50:56:AE:3C:72,static,dcc-chsi-gpu-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.179,00:50:56:AE:6A:3C,static,dcc-chsi-gpu-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.18,00:50:56:AE:0C:AF,static,dcc-cosmology-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.180,00:50:56:AE:7C:89,static,dcc-chsi-gpu-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.181,00:50:56:AE:24:E8,static,dcc-chsi-gpu-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.182,00:50:56:AE:15:30,static,dcc-chsi-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.19,00:50:56:AE:07:D7,static,dcc-cosmology-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.190,00:50:56:AE:F5:99,static,dcc-delairelab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.20,00:50:56:AE:15:3F,static,dcc-cosmology-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.21,00:50:56:AE:45:C3,static,dcc-cosmology-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.216,00:50:56:AE:7C:BE,static,dcc-dfe-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.217,00:50:56:AE:1D:BD,static,dcc-dfe-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.218,00:50:56:AE:E7:C3,static,dcc-dolbowlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.219,00:50:56:AE:5D:8F,static,dcc-cryosparc-dhvi-strucbio-03,AlmaLinux 9.4 (Seafoam Ocelot),VMware,"VMware7,1"
10.183.14.22,00:50:56:AE:21:5A,static,dcc-randleslab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.220,00:50:56:AE:15:75,static,dcc-donglab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.221,00:50:56:AE:35:65,static,dcc-dunsonlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.222,00:50:56:AE:18:A0,static,dcc-dunsonlab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.223,00:50:56:AE:E0:18,static,dcc-ece-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.224,00:50:56:AE:8D:AB,static,dcc-ece-gpu-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.225,00:50:56:AE:2A:52,static,dcc-ece-gpu-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.226,00:50:56:AE:46:92,static,dcc-ece-gpu-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.227,00:50:56:AE:E7:F2,static,dcc-econ-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.228,00:50:56:AE:39:F6,static,dcc-econ-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.229,00:50:56:AE:3A:91,static,dcc-econ-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.23,00:50:56:AE:71:ED,static,dcc-randleslab-03,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.230,00:50:56:AE:1F:33,static,dcc-econ-04,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.231,00:50:56:AE:C2:18,static,dcc-econ-05,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.232,00:50:56:AE:B0:C5,static,dcc-econ-06,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.233,00:50:56:AE:BC:C6,static,dcc-econ-07,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.234,00:50:56:AE:FE:F6,static,dcc-econ-08,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.235,00:50:56:AE:E3:68,static,dcc-econ-09,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.236,00:50:56:AE:A3:A3,static,dcc-econ-11,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.237,00:50:56:AE:FF:93,static,dcc-econ-10,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.238,00:50:56:AE:16:09,static,dcc-econ-12,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.239,00:50:56:AE:79:C8,static,dcc-econ-13,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.24,00:50:56:AE:1A:06,static,dcc-randleslab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.240,00:50:56:AE:69:30,static,dcc-econ-15,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.241,00:50:56:AE:42:C1,static,dcc-econ-14,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.242,00:50:56:AE:8C:1A,static,dcc-econ-16,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.243,00:50:56:AE:C8:AE,static,dcc-econ-17,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.244,00:50:56:AE:F1:DA,static,dcc-econ-18,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.245,00:50:56:AE:E0:2A,static,dcc-econ-19,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.246,00:50:56:AE:50:F2,static,dcc-fanglab-gpu-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.247,00:50:56:AE:FD:CB,static,dcc-fergusonlab-01,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
10.183.14.248,00:50:56:AE:84:A2,static,dcc-fergusonlab-02,AlmaLinux 9.3 (Shamrock Pampas Cat),VMware,"VMware7,1"
